Number;Start time in milliseconds;End time in milliseconds;Text
1;53940;58090;"some mornings i wake up crying without knowing why."
2;58700;61440;"that's when everything happens now and again."
3;62060;66540;"whatever that dream was i had i can never remember it."
4;66540;69550;"but but"
5;69550;72190;"the only thing that does last when i wake up"
6;72190;74190;"is a sense of loss"
7;74560;77190;"which lingers for a long time afterwards."
8;83850;86700;"i'm always searching for something"
9;86700;88700;"or someone."
10;88750;91090;"i've been consumed by this feeling"
11;91920;94090;"ever since that day."
12;95040;98910;"the day a star fell."
13;98910;100460;"it was almost like"
14;100460;102450;"like seeing something out of a dream."
15;103760;106450;"nothing more or less"
16;106460;108400;"than a breathtaking view. than a breathtaking view."
17;108970;114430;"ah if only our voices speak at night"
18;114430;118100;"could ever reach the very edge of this world"
19;118100;119610;"and of time"
20;119910;124790;"instead of fading into air and dust."
21;124790;127840;"then what will the words could it ever be"
22;127840;130540;"farthest words from probably"
23;130550;133050;"let's make a promise that will never fade."
24;133050;136830;"let's say it together on the count of three oh."
25;147750;150960;"ah i'm told that some part of every wish will be heard"
26;150960;153730;"but lately i've lost sight of the truth in those words."
27;153730;156980;"i can't even remember when i gave up believing."
28;156980;158550;"what could have been the reason"
29;158550;161870;"ah the very moment that the rain will stop"
30;161870;164410;"in the place rainbow born and dies."
31;164410;166350;"and where the end of this life lies"
32;166350;170020;"i've always been insisting there was something that i've longing for."
33;174610;179990;"one day we'll reach to emotions unexplored unprecedented."
34;179990;184720;"we'll high five love we've yet to discover and give a kiss to time."
35;184720;187380;"the five dimensions keeps on teasing me"
36;187380;190440;"but i will keep on looking at you dear."
37;190440;194770;"let's make a sign for when we say nice to meet you again."
38;196290;197660;"i'm on my way to you"
39;197660;200610;"chasing after your name."
40;224120;226140;"taki"
41;226140;227890;"taki."
42;227890;229900;"taki"
43;230660;232270;"don't you remember"
44;235290;238330;"my name is"
45;238330;239020;"mitsuha"
46;275200;278010;"sis what are you doing"
47;278030;281390;"whoa they're so realistic feeling"
48;282200;283110;"sis"
49;283110;284220;"me"
50;284220;285880;"are you still asleep"
51;285880;289010;"breakfast time hurry up"
52;308600;310050;"huh"
53;310050;311420;"wha "
54;311640;313260;"whaaat"
55;319930;322490;"do you wanna have any of last night's fish grandma"
56;322490;324190;"you can eat it."
57;324710;326210;"mornin' mornin'"
58;326210;328330;"lazy butt you're so slow"
59;328330;330540;"i'll fix breakfast tomorrow."
60;335930;337490;"oh that's a lot"
61;337490;338850;"oh well."
62;338850;341060;"you're back to normal today. huh"
63;341060;345750;"you were so crazy yesterday. what do you mean crazy"
64;346690;349380;"attention citizens of itomori."
65;349380;350650;"good morning"
66;350650;354400;"this is an official announcement from itomori town hall."
67;354400;357330;"it is in regards to the mayoral election."
68;357330;360390;"the election will be held on the twentieth of next month."
69;360760;364240;"the election committee would like to remind everyone tha "
71;366720;370040;"a comet that comes only once every twelve hundred years"
72;370040;372770;"will finally be headed our way in a month."
73;372770;377120;"the comet will be visible to the naked eye for several days once it approaches the earth"
74;377120;379270;"just make up with him already okay"
75;379270;385360;"that's an adult matter. according to jaxa's spokesperson they're preparing for the celestial show of the millennium."
78;401430;403120;"we're leaving we're leaving"
79;406390;410550;"i can't wait 'til the festival it's gonna be so much fun"
80;423600;425570;"study hard sis"
81;428400;429860;"ah"
82;430850;432420;"mitsuha"
83;432420;434370;"good mornin' saya mornin' teshi"
84;434370;437040;"mornin' come on would you get off already"
85;437040;439160;"what for meanie 'cause you're heavy."
86;439160;442360;"hey that's rude y'know i gotta say. you two make a great couple."
87;442360;444050;"no we don't no we don't"
88;445730;448930;"oh i see you actually bothered to do your hair today."
89;448930;452780;"wait what oh yeah. what happened did your grandma exorcise all your demons"
90;452780;456200;"exorcise somethin' totally possessed your body"
91;456200;459190;"would you just give it a rest with all this occult nonsense"
92;459190;463660;"mitsuha's gotta be feelin' stressed enough as it is right what are you guys talking about"
93;463660;465660;"are you feelin' okay"
94;466910;473710;"and above all restoring the town's fiscal health so we can continue our revitalization project."
95;473710;479610;"it's only when all these things are achieved that we can create a safe and secure community."
96;479920;484900;"as the incumbent my administration miyamizu's gonna get another term anyway."
97;484900;488270;"i hear he's been dullin' out the pork. just between us."
98;488270;491450;"hey miyamizu. mornin'."
99;491450;495650;"looks like the mayor and the contractor's kid are pretty cozy too."
100;495650;499790;"to improve the quality of life of each and every resident."
101;500840;502540;"mitsuha  "
102;502670;505140;"stand up straight when you're walking"
103;505550;507510;"oh he's tough on his family."
104;507510;508970;"well that's the mayor for ya."
105;508970;511420;"awkward. sucks to be her."
106;512420;514140;"mitsuha"
107;514830;516480;"in front of everyone."
110;530450;534010;"two light. that's the origin of the word twilight."
111;534010;536770;"i'm sure everyone here knows that word."
112;536770;540220;"it's dusk a time when it's neither day nor night."
113;540500;542690;"when the border between worlds blur"
114;542690;545670;"and one might encounter something not human."
115;546510;550350;"another older term for it is dusk light."
116;550350;553510;"some people also call it golden hour."
118;553510;556370;"what about magic hour it's something my grandma says."
119;556370;560140;"well golden hour and magic hour are technically the same"
120;560140;562860;"but it's a term that mostly photographers use."
122;563300;566780;"well she does take a lot of pictures.  "
123;568090;569980;"okay next"
124;569980;572330;"miyamizu uh yes"
125;572330;575700;"well i can see that you remember your own name today."
126;579000;581660;"you don' uh uh"
127;581660;585880;"well believe it or not you forgot where your own desk and locker were yesterday."
128;585880;589980;"plus you had the worst case of bedhead and you didn't have your ribbon on either"
129;592860;594540;"what no way"
130;594540;597190;"yeah it was like you had amnesia or somethin'."
131;597190;601840;"now that you mention it i do feel like i've been havin' weird dreams lately."
132;601840;605860;"like a dream about someone else's life"
133;606020;608120;"it's all so fuzzy."
134;608120;610660;"wait a sec i've got it"
135;610660;612420;"it's memories from a previous life"
136;612420;616250;"or maybe your subconscious linked to the everett interpretation of the multiverse"
137;616250;617570;"keep your full mouth shut"
138;617570;622390;"wait a minute teshi don't tell me you were the one who wrote in my noteboo k."
139;623080;624510;"forget it."
140;625170;629500;"but you really were actin' just a little funny yesterday mitsuha."
141;629800;631730;"you been feelin' okay"
142;632450;635450;"that's what's weird. i feel fine."
143;635580;639600;"maybe it's from stress. you know you've got that ritual comin' up soon don'tcha"
144;639600;641800;"ugh don't remind me"
145;641800;646380;"i can't stand this place anymore it's too small and town ey."
146;646380;650870;"i wanna graduate already and go to tokyo as soon as i can"
147;650960;656130;"can't say i blame you. there really is nothin' at all in this town."
148;657100;661660;"there's only one train that stops here every two hours and all the stores close at nine o' clock."
149;661660;663770;"no bookstores no dentists"
151;663770;666140;"but two cocktail lounges for whatever reason."
152;666140;668620;"no jobs in town. no one date able."
153;668620;671230;"even the days are too short."
154;672340;673470;"you know what"
155;673470;675150;"no what no what"
156;675960;678500;"forget that stuff. why don't we go to a cafe"
157;678500;679960;"a cafe really"
158;679960;681260;"where where"
159;685820;686800;"hello kids"
160;686800;688160;"hi there evenin' ma'am"
161;693050;696740;"how is this a cafe like this town's got a cafe."
162;697050;699680;"mitsuha just went straight home."
163;700670;705480;"things have gotta be really rough for her right now. she's on center stage and all."
164;705480;706480;"yeah"
165;709810;712440;"hey teshi hm"
166;712800;715900;"what are you gonna do after you graduate high school"
