they worder trou the term to this work you hafter beave behind what is megic in purt me too, in order to return to this world you have to leave behind what is most important to you, 33
morry but uh, sorry but uh, 1
well, no, 4
i spent the it lon on someme, i spent the night alone on some mountain, 13
on like a yon yet to wise tet time dis life for cause ove town in time, one day well reach to emotions unexplored unprecedented, 52
an a breast taking doo, than a breathtaking view, 8
that guy, that guy, 0
dad evacuation cry, got an evacuation plan, 9
the day the stire fell, the day a star fell, 5
taki, taki, 0
the comets tell is an emertion sometimizicssels must try to structure waitess for this tarm, the comets not within the roche limit so the nucleus itself mustve had a structural weakness for this to happen, 53
kitsuresaiss something platter we cossessed broad, exorcise somethin totally possessed your body, 27
so were just make annouts me to aback lates the school, so well just make an announcement to evacuate to the school, 18
sorry mitsuha, sorry mitsuha, 0
lust you look on oss its soot time mine, dashing up the steps of time now, 26
whold is ni, who is he, 4
but ut reany one cuts went to conflise your wyy we have pride to mister go sto go sto go so  ou        to go sto go sto go st to g, uh i dont believe anyone could have predicted this either way we have quite the mystical view here, 92
ill be in trarge to explose juy you have a broad of the mayor, and ill be in charge of the explosives while i go have a word with the mayor, 30
what thats where is im bet the eary over that comet, but thats where wait isnt that the area where that comet, 18
thats where you have a prout ol list, thats what you have a problem with, 11
ive you leke i do one ago the one youre gright lie er, i feel like i do wanna go to one more bridal fair, 25
all those dreams of the miyamizu people at, all those dreams that the miyamizu people had, 6
you were wrote youve gotta be, you were wrong you gotta be, 4
realist two uch hid i do feel like have been happined your dreams thatly, now that you mention it i do feel like ive been havin weird dreams lately, 32
the mizu, faded, 8
who, oh, 2
stand of strike when ow water, stand up straight when youre walking, 15
taki is in high school a memies so kyou, takis in high school and living in tokyo, 14
blate om that teshi well tome you were the one ago did my not wha uh, wait a minute teshi dont tell me you were the one who wrote in my noteboo k, 34
lets you together at the count of three, lets say it together on the count of three oh, 10
look im even went to ime you do your sight, but when i went to wipe your tears dry, 23
yeah ats itomori teach me bark, yeah thats itomori takes me back, 7
that were youre means that hall if, that were in our dreams that girl and i, 15
stats morning, and thats why, 12
uh it never do not i just fund of everyobody and there are seem grial, ugh id never do that and in front of everybody embarrassing right, 34
who, huh, 3
so neve go no that this mean you really even, no no no no could this mean that were really, 24
i came all this way to see her, i came all this way to see her, 0
